Gene,Log2FC,p-value,adj_p-value,Significant,-log10(p-value)
KCTD3,0.08767743043997633,0.6656238208606804,,False,0.17677114422449744
USH2A,-0.8096687878958502,0.2920174584941355,,False,0.5345911831371668
LOC121934873,0.0,,,False,
ESRRG,-3.405992359675836,0.36174485037636955,,False,0.4415976425697958
LOC121918917,0.0,,,False,
GPATCH2,0.7005915248483285,0.02100131697936938,,False,1.6777534700785093
SPATA17,-5.514122260170708,0.05916624717863889,,False,1.2279259764606316
LOC121918978,0.0,,,False,
RRP15,-0.6370708179274676,0.004588092060198565,,False,2.338367876552129
TGFB2,-0.28883040671113225,0.28673944020614334,,False,0.5425125669564129
LYPLAL1,-0.6271365896310543,0.1589754532994903,,False,0.7986699280038134
SLC30A10,-2.6147098441152083,0.04128786779859622,,False,1.3841775445221018
EPRS1,-0.44225600200918436,0.03276589318446155,,False,1.484577988861639
BPNT1,0.42676916938031084,0.35063548833706787,,False,0.45514413042996255
IARS2,0.38670022445395524,0.07568226784625323,,False,1.1210058626216337
RAB3GAP2,-0.047235660067423524,0.8218964575296782,,False,0.0851828914087485
MARK1,-0.3277331733002047,0.17746794345880088,,False,0.7508800833765455
C1H1orf115,1.3489266847341188,0.005726607478391214,,False,2.2421025839219237
PFN3,1.6520766965796936,0.02566836978863543,,False,1.590601712718582
LOC121935538,-1.9633776903636146,0.0012383297119225758,,False,2.907163706685794
LOC121924124,-0.041687289261551186,0.8203789101922753,,False,0.08598551274156464
HLX,-1.4300876570551537,0.0005604550103325275,,False,3.2514592439941232
DUSP10,0.8903755088255014,0.013424882359927443,,False,1.8720895112640277
LOC121922637,0.0,,,False,
TRNAT-UGU,0.0,,,False,
LOC121928356,-1.1225384126031095,0.0006418523792757011,,False,3.1925648445758448
MIA3,-0.20784763456711097,0.4448161081617782,,False,0.35181949399995427
LOC121921267,0.0,,,False,
AIDA,-0.29209931364588293,0.2478928110572202,,False,0.6057360676793371
BROX,-0.24982305312093622,0.164732198585201,,False,0.7832215052554812
FAM177B,0.43888424123321146,0.6154075418061244,,False,0.21083718578645833
LOC121929673,0.8744691179161412,0.09251500555042762,,False,1.0337878207829259
